GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Music Application,com.tus.musicapp.filter,JwtRequestFilter,51,25,8,2,11,9,5,3,0,3
Music Application,com.tus.musicapp.controller,AdminController,0,32,1,3,0,7,1,5,0,4
Music Application,com.tus.musicapp.controller,StaticFilesController,2,42,3,5,1,7,3,5,0,4
Music Application,com.tus.musicapp.controller,GlobalExceptionHandler,0,65,0,0,0,14,0,7,0,7
Music Application,com.tus.musicapp.controller,AuthController,26,69,4,0,5,13,3,3,1,3
Music Application,com.tus.musicapp.controller,HomeController,2,3,0,0,1,1,1,1,1,1
Music Application,com.tus.musicapp.controller,MusicController,84,318,8,18,20,77,13,15,5,10
Music Application,com.tus.musicapp.controller,AuthController.AuthRequest,0,3,0,0,0,1,0,1,0,1
Music Application,com.tus.musicapp.controller,AuthController.AuthResponse,0,12,0,0,0,5,0,1,0,1
Music Application,com.tus.musicapp.controller,SpotifyController,0,10,0,0,0,4,0,2,0,2
Music Application,com.tus.musicapp.service,UserDetailsServiceImpl,0,40,0,0,0,8,0,4,0,4
Music Application,com.tus.musicapp.service,SongService,26,86,0,0,2,24,5,8,5,8
Music Application,com.tus.musicapp.service,SpotifyService,4,129,3,3,0,23,3,3,0,3
Music Application,com.tus.musicapp.service,UserService,22,267,12,22,1,56,15,13,3,8
Music Application,com.tus.musicapp.service,MusicService,30,138,4,6,2,36,8,7,4,6
Music Application,com.tus.musicapp.model,Song,0,27,0,0,0,10,0,2,0,2
Music Application,com.tus.musicapp.model,User,0,13,0,0,0,3,0,1,0,1
Music Application,com.tus.musicapp.model,Music,0,27,0,0,0,11,0,2,0,2
Music Application,com.tus.musicapp.model,Role,0,15,0,0,0,3,0,1,0,1
Music Application,com.tus.musicapp.config,SecurityConfig,0,152,0,0,0,22,0,11,0,11
Music Application,com.tus.musicapp.config,AppConfig,0,7,0,0,0,2,0,2,0,2
Music Application,com.tus.musicapp.config,DataInitializer,0,73,2,2,0,16,2,2,0,2
Music Application,com.tus.musicapp.config,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
Music Application,com.tus.musicapp.config,MapperConfig,0,7,0,0,0,2,0,2,0,2
Music Application,com.tus.musicapp.mapper,SongMapper,2,10,1,1,1,4,1,1,0,1
Music Application,com.tus.musicapp.mapper,SongMapperImpl,4,89,3,3,2,24,3,3,0,3
Music Application,com.tus.musicapp.util,JwtUtil,109,3,4,0,26,1,11,1,9,1
Music Application,com.tus.musicapp.exceptions,UsernameAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
Music Application,com.tus.musicapp,MusicApplication,5,3,0,0,2,1,1,1,1,1
